subject,exp_type,experiment,r_pcs
R1729J,intracranial,IFR1,0.6831031460338948
R1730A,intracranial,IFR1,0.340825431380044
R1733A,intracranial,IFR1,-0.4917158413234086
R1739A,intracranial,IFR1,0.3495727176015899
R1740H,intracranial,IFR1,0.43059956294727836
R1741A,intracranial,IFR1,0.3811436526598061
R1742J,intracranial,IFR1,0.2714348577709121
R1743H,intracranial,IFR1,0.27118435747069386
R1744A,intracranial,IFR1,0.6179489416203336
R1745H,intracranial,IFR1,0.768553197707581
R1746A,intracranial,IFR1,0.5770117743481336
R1747A,intracranial,IFR1,0.523842543254331
R1749A,intracranial,IFR1,0.2342585785233261
R1752A,intracranial,IFR1,0.6171171673206505
TJ001,intracranial,pyFR,0.5924466800193673
TJ003,intracranial,pyFR,0.6051892323542812
TJ004,intracranial,pyFR,0.14202305041940574
TJ005,intracranial,pyFR,0.5426380073141194
TJ006,intracranial,pyFR,1.0
TJ010,intracranial,pyFR,0.675832801633575
TJ013,intracranial,pyFR,0.6525712662274541
TJ015,intracranial,pyFR,0.7786069020467257
TJ016,intracranial,pyFR,0.40476537810503227
TJ017,intracranial,pyFR,-0.09804342108183933
TJ018,intracranial,pyFR,0.4643890720636627
TJ019,intracranial,pyFR,0.5632365739428234
TJ020,intracranial,pyFR,0.7000543318759499
TJ021,intracranial,pyFR,0.5020181535731768
TJ022,intracranial,pyFR,0.5010226442771678
TJ024,intracranial,pyFR,0.7769975482984361
TJ025,intracranial,pyFR,0.6529855638600557
TJ027,intracranial,pyFR,0.7875176823446379
TJ028,intracranial,pyFR,0.5885843603926956
TJ029,intracranial,pyFR,0.4674000232480681
TJ030,intracranial,pyFR,0.49491776804878335
TJ031,intracranial,pyFR,0.6721809696922758
TJ032,intracranial,pyFR,0.5594841886521833
TJ033,intracranial,pyFR,0.6482750271886865
TJ034,intracranial,pyFR,0.8798810507300233
TJ035,intracranial,pyFR,0.2337178933300003
TJ036,intracranial,pyFR,0.36282607472787953
TJ037,intracranial,pyFR,0.4589432369839626
TJ038,intracranial,pyFR,0.6850247729543201
TJ039,intracranial,pyFR,0.4509994582840288
TJ040,intracranial,pyFR,-0.06643208734845096
TJ041,intracranial,pyFR,0.2383632541208233
